utt_idx,split,condition,label,attack_type,score,prob,pred_label,es,sba,fp,ecs,trusted
0,train,C0_clean,0,bonafide,-0.01655685342848301,0.49586087465286255,0,0.9999997019767761,0.7108240127563477,0.9959868566120449,0.9120431416012282,1
0,train,C8_opus16,0,bonafide,-0.016462627798318863,0.4958844482898712,0,0.8954790234565735,0.7157756686210632,0.993195681697784,0.8708830144782835,1
0,train,C9_opus6,0,bonafide,-0.016331462189555168,0.4959172010421753,0,0.8775523900985718,0.7135776877403259,0.6038288288470156,0.7462429110156312,1
0,train,N1_awgn20,0,bonafide,-0.016334500163793564,0.4959164559841156,0,0.8784549832344055,0.6964613199234009,0.9913740855652373,0.8577326149403537,1
0,train,N2_awgn10,0,bonafide,-0.014032922685146332,0.49649181962013245,0,0.8133555054664612,0.6407450437545776,0.9993145109596812,0.8173600686008622,1
1,train,C0_clean,0,bonafide,-0.01655685342848301,0.49586087465286255,0,0.9999997019767761,0.7108240127563477,0.9925080927076866,0.9109995124299208,1
1,train,C8_opus16,0,bonafide,-0.016461122781038284,0.49588483572006226,0,0.8867339491844177,0.7226206064224243,0.9940634496412141,0.8696987964928586,1
1,train,C9_opus6,0,bonafide,-0.016281764954328537,0.49592965841293335,0,0.8730528354644775,0.7260196805000305,0.6044709281442648,0.7483683167790796,1
1,train,N1_awgn20,0,bonafide,-0.01628793403506279,0.4959280788898468,0,0.8482714891433716,0.7009184956550598,0.9875246260374737,0.8458415321651087,1
1,train,N2_awgn10,0,bonafide,-0.01424853689968586,0.4964379370212555,0,0.8150346279144287,0.6369895339012146,0.9949527408468792,0.8155965335901998,1
2,train,C0_clean,0,bonafide,-0.01655685342848301,0.49586087465286255,0,0.9999997019767761,0.7108240127563477,0.9982752187469465,0.9127296502416987,1
2,train,C8_opus16,0,bonafide,-0.016464482992887497,0.495883971452713,0,0.8811389207839966,0.7200824022293091,0.9922828495583856,0.866165143849907,1
2,train,C9_opus6,0,bonafide,-0.016346104443073273,0.4959135353565216,0,0.8719736933708191,0.7270256876945496,0.5980847025467677,0.7463225944207228,1
2,train,N1_awgn20,0,bonafide,-0.01644139364361763,0.49588972330093384,0,0.8592708706855774,0.7035747766494751,0.9925223837646291,0.8525374963984622,1
2,train,N2_awgn10,0,bonafide,-0.01396351307630539,0.4965091645717621,0,0.7937983870506287,0.6418927907943726,0.9934149474636548,0.8081116762976597,1
