sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation,trusted
0,C0_clean,bonafide,0.5432384426905035,0.5476151492820401,1.0,0.8322524970600664,0.39030856192111973,1.0,0.44308678494144077,0.9977548719254473,1
0,C8_opus16,bonafide,0.5393546109496596,0.5473707683431315,1.0,0.8191430967464206,0.38063656389713285,0.9737352132797241,0.4382923312638332,0.9938710401846035,1
0,C9_opus6,bonafide,0.560593417351514,0.5208963843645759,1.0,0.26638584640804136,0.15,0.16218781471252441,0.05,0.6217024017434386,0
0,N1_awgn20,bonafide,0.5410801360984817,0.5378010264914972,1.0,0.7585520068811806,0.32877034246921544,0.8295607566833496,0.4268291153593769,0.9955965653334256,1
0,N2_awgn10,bonafide,0.5358328237955801,0.53273114939565,1.0,0.7142573130763874,0.3270460650324822,0.7771293520927429,0.3543359877671101,0.9903492530305239,1
1,C0_clean,bonafide,0.5354598796223939,0.5329384814933236,1.0,0.8389709205561489,0.39030856192111973,1.0,0.46571236662976373,0.9975240352240661,1
1,C8_opus16,bonafide,0.5393964142319728,0.5398123452890341,1.0,0.8460406458956196,0.38063656389713285,0.9737352132797241,0.5232824384460777,0.998539430166355,1
1,C9_opus6,bonafide,0.5492633706135418,0.5178579205682795,1.0,0.2717661453279666,0.15,0.1806444227695465,0.05,0.6150279207338268,0
1,N1_awgn20,bonafide,0.5421489736300314,0.5333840245598552,1.0,0.7525776333017508,0.32885330319404604,0.8196278810501099,0.41996806550405974,0.9957868707682964,1
1,N2_awgn10,bonafide,0.5439921278194103,0.5306518314121206,1.0,0.7797750088793098,0.2951019793748856,0.7970193028450012,0.5426139092254469,0.9939437165789176,1
2,C0_clean,bonafide,0.5410443179750238,0.5302016493806011,1.0,0.8148668232747871,0.39030856192111973,1.0,0.38895781750144887,0.9939315934145079,1
2,C8_opus16,bonafide,0.5415096019137512,0.5431670371655716,1.0,0.8028903577843838,0.38063656389713285,0.9737352132797241,0.38359069755507846,0.9943968773532352,1
2,C9_opus6,bonafide,0.5576192309466222,0.5226593690473865,1.0,0.2561389648394825,0.15,0.1618805229663849,0.05,0.5879558521764284,0
2,N1_awgn20,bonafide,0.5393921071974674,0.5347054779057602,1.0,0.7506794201467557,0.3422619327902794,0.8504335880279541,0.37607390048162864,0.9922793826369515,1
2,N2_awgn10,bonafide,0.5454073769645812,0.5274955137064475,1.0,0.7765595187797255,0.3251728191971779,0.8155357241630554,0.5028561113109458,0.9982946524040652,1
3,C0_clean,bonafide,0.5366153899984702,0.5430583814442044,1.0,0.8268222568392042,0.39030858874320984,1.0,0.4307458859791842,0.9919949701514963,1
3,C8_opus16,bonafide,0.5451816963299866,0.5352786166494813,1.0,0.8397906952044252,0.38063656389713285,0.9737352132797241,0.5015499761247976,0.9994387235169874,1
3,C9_opus6,bonafide,0.5546502429784748,0.5214078239530427,1.0,0.26884599512541685,0.15,0.19018475711345673,0.05,0.5925736409334473,0
3,N1_awgn20,bonafide,0.53767638417696,0.5404052118146078,1.0,0.7431734187416398,0.3372115850448608,0.8171291351318359,0.3946832512996986,0.993055964329986,1
3,N2_awgn10,bonafide,0.544267285655755,0.5403903282258036,1.0,0.7626909348980643,0.3400349736213684,0.7686331868171692,0.5178120014285411,0.999646865808781,1
4,C0_clean,bonafide,0.5418069780275421,0.5476901828323298,1.0,0.8244228430516143,0.3903085947036743,1.0,0.4177440122697438,0.9969987979023038,1
4,C8_opus16,bonafide,0.5483485140134756,0.5263759787451457,1.0,0.8228945945587691,0.38063656389713285,0.9737352132797241,0.4482086980445024,0.9964596661117626,1
4,C9_opus6,bonafide,0.560836076392783,0.523708671470284,1.0,0.25688063437627295,0.15,0.1636718064546585,0.05,0.5880397059813652,0
4,N1_awgn20,bonafide,0.5337439808263943,0.5352198151614137,1.0,0.7594206438704032,0.3262176051735878,0.8159087300300598,0.4545880388267751,0.988935800701156,1
4,N2_awgn10,bonafide,0.5512881456654496,0.5335099734668899,1.0,0.7604391900757739,0.31267788261175156,0.8050662279129028,0.4678556285755873,0.9935200344597886,1
5,C0_clean,bonafide,0.5445770105885104,0.5416437555482985,1.0,0.8257878007653391,0.39030856192111973,1.0,0.4249121478207732,0.9943805213970237,1
5,C8_opus16,bonafide,0.5430916328999723,0.5399600920123347,1.0,0.8153074519810526,0.38063656389713285,0.9737352132797241,0.42351198981164806,0.9958658990855618,1
5,C9_opus6,bonafide,0.561157811055627,0.5201751484276508,1.0,0.2647763321815769,0.15,0.1842706948518753,0.05,0.5868935141360893,0
5,N1_awgn20,bonafide,0.5364997999656077,0.5376632266790546,1.0,0.7520335639716735,0.3630201071500778,0.8091312646865845,0.4303945923433921,0.9975422679800736,1
5,N2_awgn10,bonafide,0.5446478848357789,0.5342047467805578,1.0,0.7447623721762944,0.34482895433902744,0.7688841223716736,0.4630527636089945,0.9943096471497552,1
