sample_idx,condition,attack_type,stability,sba,fp,ecs,ecs_nr,trusted
0,C0_clean,bonafide,1.0,0.55,0.9977548719254473,0.8643264615776343,0.32199787169694905,1
0,C8_opus16,bonafide,0.9825853109359741,0.55,0.9936939561426077,0.856142311217172,0.33144082069396974,1
0,C9_opus6,bonafide,0.16129562258720398,0.08726834570373723,0.6473763844652217,0.2849116680855693,0.18,0
0,N1_awgn20,bonafide,0.853147566318512,0.55,0.994549087238456,0.8046237526989417,0.3080424945056439,1
0,N2_awgn10,bonafide,0.7728990316390991,0.55,0.9962015477733912,0.773020076987657,0.3145789147913456,1
1,C0_clean,bonafide,1.0,0.55,0.99362773739928,0.8630883212197841,0.32199787169694905,1
1,C8_opus16,bonafide,0.9825854301452637,0.55,0.9943493255977509,0.8563389697374307,0.33144082069396974,1
1,C9_opus6,bonafide,0.16380445659160614,0.07637851699795656,0.5358113803177128,0.24917875183134328,0.18,0
1,N1_awgn20,bonafide,0.8245860934257507,0.55,0.9980049513891532,0.7942359227870462,0.3268487095832825,1
1,N2_awgn10,bonafide,0.8028528690338135,0.55,0.9938820302433915,0.7843057566865429,0.31294307053089143,1
2,C0_clean,bonafide,1.0,0.55,0.9997517744375175,0.8649255323312552,0.32199787169694905,1
2,C8_opus16,bonafide,0.9825854301452637,0.55,0.9999052737769408,0.8580057541911876,0.3314408086240292,1
2,C9_opus6,bonafide,0.16455943882465363,0.08044508454698249,0.6246763473630956,0.2773602051028849,0.18,0
2,N1_awgn20,bonafide,0.8620787262916565,0.55,0.9805950414309594,0.8040100029459505,0.298885573297739,1
2,N2_awgn10,bonafide,0.7962145209312439,0.55,0.992076130951244,0.7811086476578708,0.3114454461634159,1
3,C0_clean,bonafide,1.0,0.55,0.9846747237375725,0.8604024171212719,0.32199787169694905,1
3,C8_opus16,bonafide,0.9825854301452637,0.55,0.9902487778940369,0.8551088054263165,0.33144082069396974,1
3,C9_opus6,bonafide,0.17065933346748352,0.07670162075862798,0.6040328664788406,0.27248407955823395,0.18,0
3,N1_awgn20,bonafide,0.8559102416038513,0.55,0.9985313714173842,0.8069235080667558,0.2970554120838642,1
3,N2_awgn10,bonafide,0.7980310916900635,0.55,0.9987130264329633,0.7838263446059144,0.3086241747438908,1
4,C0_clean,bonafide,1.0,0.55,0.9971475952268689,0.8641442785680606,0.32199790447950366,1
4,C8_opus16,bonafide,0.9825854897499084,0.55,0.9991485066318886,0.85777874788953,0.3314408086240292,1
4,C9_opus6,bonafide,0.17044900357723236,0.0765488968291763,0.6243757746718259,0.2784570028811936,0.18,0
4,N1_awgn20,bonafide,0.8254281282424927,0.55,0.9994983756686859,0.7950207639976029,0.2920129109919072,1
4,N2_awgn10,bonafide,0.7872014045715332,0.55,0.9896831228065386,0.7767854986705749,0.31315673604607586,1
5,C0_clean,bonafide,1.0,0.55,0.9947129289404869,0.8634138786821461,0.32199787169694905,1
5,C8_opus16,bonafide,0.9825854301452637,0.55,0.9887683600522781,0.8546646800737889,0.3314408086240292,1
5,C9_opus6,bonafide,0.1727902889251709,0.07124314806451447,0.6312747485201826,0.2798714845454775,0.18,0
5,N1_awgn20,bonafide,0.8509737849235535,0.55,0.997788109839608,0.8047259469213038,0.27642842546105384,1
5,N2_awgn10,bonafide,0.7724979519844055,0.55,0.994980712549464,0.7724933945586014,0.29142499282956125,1
6,C0_clean,bonafide,1.0,0.55,0.9943805213970237,0.8633141564191071,0.32199790447950366,1
6,C8_opus16,bonafide,0.9825854301452637,0.55,0.9987419583927254,0.857656759575923,0.3314408086240292,1
6,C9_opus6,bonafide,0.1866789311170578,0.08148747121160403,0.5789384071836794,0.2727993359654082,0.18,0
6,N1_awgn20,bonafide,0.847990095615387,0.55,0.989548665797144,0.801060637985298,0.33968550428748134,1
6,N2_awgn10,bonafide,0.786255955696106,0.55,0.9920414686627265,0.7771148228772604,0.32257020652294166,1
7,C0_clean,bonafide,1.0,0.55,0.9938267259982064,0.8631480177994619,0.32199790447950366,1
7,C8_opus16,bonafide,0.9825854301452637,0.55,0.9947903971358955,0.8564712911988741,0.3314408086240292,1
7,C9_opus6,bonafide,0.1717747002840042,0.0806959084507975,0.6421187621597788,0.28555428129677457,0.18,0
7,N1_awgn20,bonafide,0.8565676212310791,0.55,0.9980084884786885,0.8070295950360382,0.3157844881713391,1
7,N2_awgn10,bonafide,0.8099192976951599,0.55,0.9886097651109207,0.7855506486113402,0.32239183366298674,1
8,C0_clean,bonafide,1.0,0.55,0.9977882459753794,0.8643364737926138,0.32199787169694905,1
